,Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location
130,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware"
131,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington"
132,COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York"
133,CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas"
134,CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida"
135,CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana"
136,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island"
137,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas"
138,DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C."
139,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida"
140,DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado"
141,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois"
142,DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia"
143,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania"
144,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
145,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas"
146,DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California"
147,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois"
148,DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland"
149,DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland"
150,DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado"
151,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee"
152,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia"
153,D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia"
154,DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois"
155,DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan"
156,DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan"
157,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina"
158,DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana"
159,DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan"
160,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia"
161,ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York"
162,EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee"
163,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland"
164,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California"
165,ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota"
166,EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California"
167,EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California"
168,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
169,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri"
170,ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana"
171,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
172,EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia"
173,EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California"
174,EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois"
175,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California"
176,EL,Estée Lauder Companies,Consumer Staples,Personal Products,"New York, New York"
177,EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri"
178,ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts"
179,RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda"
180,EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois"
181,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington"
182,EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington"
183,EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah"
184,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas"
185,FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington"
186,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California"
187,FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota"
188,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland"
189,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee"
190,FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida"
191,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio"
192,FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio"
193,FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California"
194,FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin"
195,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia"
196,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon"
197,FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas"
198,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania"
199,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan"
200,FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California"
201,FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington"
202,FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois"
203,FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,"New York, New York"
204,FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,"New York, New York"
205,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California"
206,FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona"
207,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California"
208,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland"
209,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut"
210,GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia"
211,GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts"
212,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota"
213,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan"
214,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia"
215,GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California"
216,GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas"
217,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia"
218,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York"
219,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois"
220,HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri"
221,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
222,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina"
223,HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin"
224,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut"
225,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island"
226,HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee"
227,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California"
228,HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]"
229,HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York"
230,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
231,HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York"
232,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
233,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia"
234,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas"
235,HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
236,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia"
237,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey"
238,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota"
239,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
240,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"New York, New York"
241,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
242,HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky"
243,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio"
244,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia"
245,IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois"
246,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine"
247,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom"
248,ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois"
249,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California"
250,INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware"
251,IR,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin"
252,INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California"
253,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia"
254,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York"
255,IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee"
256,IPG,Interpublic Group,Communication Services,Advertising,"New York, New York"
257,IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York"
258,INTU,Intuit Inc.,Information Technology,Application Software,"Mountain View, California"
259,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California"
260,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia"
261,IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts"
262,IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina"
263,IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts"
264,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri"
265,J,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas"
266,JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas"
267,SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio"
268,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey"
269,JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland"
270,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York"
271,JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California"
272,KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri"
273,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan"
274,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio"
275,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California"
276,KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas"
277,KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York"
278,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas"
279,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California"
280,KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin"
281,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania"
282,KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio"
283,LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio"
284,LHX,L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida"
285,LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina"
286,LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California"
287,LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho"
288,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
289,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri"
290,LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,"Reston, Virginia"
291,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida"
292,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana"
293,LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania"
294,LIN,Linde plc,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom"
295,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California"
296,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois"
297,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland"
298,L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York"
299,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina"
300,LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands"
301,MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York"
302,M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio"
303,MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
304,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio"
305,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York, New York"
306,MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland"
307,MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York"
308,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina"
309,MAS,Masco Corp.,Industrials,Building Products,"Livonia, Michigan"
310,MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,"Harrison, New York"
311,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland"
312,MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,"San Jose, California"
313,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois"
314,MCK,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas"
315,MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland"
316,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey"
317,MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York"
318,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio"
319,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
320,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona"
321,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho"
322,MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington"
323,MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee"
324,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia"
325,TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado"
326,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois"
327,MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California"
328,MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York"
329,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York"
330,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida"
331,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Chicago, Illinois"
332,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York"
333,MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands"
334,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York"
335,NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
336,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California"
337,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California"
338,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia"
339,NEM,Newmont Corporation,Materials,Gold,"Denver, Colorado"
340,NWSA,News Corp. Class A,Communication Services,Publishing,"New York, New York"
341,NWS,News Corp. Class B,Communication Services,Publishing,"New York, New York"
342,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida"
343,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York"
344,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon"
345,NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana"
346,NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
347,JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington"
348,NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia"
349,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois"
350,NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia"
351,NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona"
352,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
353,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey"
354,NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina"
355,NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California"
356,NVR,NVR Inc,Consumer Discretionary,Homebuilding,"Reston, VA"
357,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri"
358,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
359,ODFL,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, North Carolina"
360,OMC,Omnicom Group,Communication Services,Advertising,"New York, New York"
361,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
362,ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California"
363,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington"
364,PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois"
365,PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio"
366,PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York"
367,PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma"
368,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California"
369,PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK"
370,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut"
